topic_id,label,pattern,cap,coverage,confidence,evidence_labels,rationale
coherent-sheaf,Coherent sheaf,coherent (?:algebraic )?sheaf|coherent module,100,direct,high,modules-section-coherent;coherent-section-coherent-sheaves,Dedicated definitions and Noetherian scheme theory are present.
ext-functor,Ext functor,\bext\b|derived hom|yoneda ext,100,direct,high,derived-section-ext;cohomology-section-ext,Derived Ext and Ext sheaves have dedicated sections.
local-cohomology,Local cohomology,local cohomology|cohomology with support,100,direct,high,local-cohomology-section-generalities;dualizing-section-local-cohomology,Local cohomology has dedicated ring and scheme infrastructure.
duality,Duality,duality|dualizing complex|serre duality|grothendieck duality,120,direct,high,duality-section-duality;duality-section-duality-proper-over-field,Modern derived duality and proper-over-field duality are present.
dualizing-sheaf,Dualizing sheaf,dualizing sheaf|canonical sheaf|dualizing module,100,direct,high,duality-section-dualizing-module;dualizing-section-dualizing-module,Dualizing modules occur in both ring and scheme treatments.
fundamental-class,Fundamental class,fundamental class|cycle class,100,partial,high,duality-section-fundamental-class,The lci fundamental class is present but FGA cycle-class statements need comparison.
poincare-duality,Poincare duality,poincare duality|perfect pairing,80,partial,high,derham-section-poincare-duality;weil-lemma-poincare-duality,De Rham and Weil-cohomology forms are present but are not automatically the FGA form.
formal-geometry,Formal geometry,formal geometry|formal algebraic geometry,80,direct,high,formal-spaces-section-formal-schemes-EGA;algebraization-section-introduction;moduli-remark-picard-formal-neighbourhoods-lefschetz,Formal spaces algebraization and the Picard spaces of infinitesimal hyperplane neighbourhoods supply a modern treatment.
formal-scheme,Formal scheme,formal scheme|adic formal,100,direct,high,formal-spaces-section-formal-schemes-EGA,EGA-style formal schemes have a dedicated section.
formal-completion,Formal completion,formal completion|completion along|adic completion,100,direct,high,formal-spaces-section-completion;coherent-section-coherent-formal,Completion and coherent formal modules are both present.
algebraization,Algebraization,algebrai[sz]|effectivization,100,direct,high,coherent-section-algebraization;algebraization-section-algebraization-modules,Grothendieck algebraization and coherent formal modules are present.
existence-theorem,Existence theorem,existence theorem|representability theorem,100,direct,high,coherent-section-existence;coherent-section-existence-proper,Grothendieck existence has dedicated sections.
descent,Descent,\bdescent\b|\bdescend,120,direct,high,descent-section-introduction;descent-section-fpqc-descent-quasi-coherent;moduli-proposition-picard-closed-union-affine;moduli-theorem-picard-pullback-proper-surjective-affine,General fpqc descent is supplemented by the closed-union and proper-surjective Picard comparison theorems.
faithfully-flat,Faithfully flat,faithfully flat|fpqc,100,direct,high,descent-section-fpqc-descent-quasi-coherent,Fpqc descent of quasi-coherent sheaves is explicit.
descent-datum,Descent datum,descent dat(?:um|a),100,direct,high,descent-section-descent-datum;descent-section-equivalence,Definitions for schemes and quasi-coherent sheaves are explicit.
effectivity,Effectivity,effective descent|effectivity,100,direct,high,descent-definition-effective;descent-section-descent-datum,Effective descent data are explicitly defined and studied.
quotient,Quotient,\bquotients?\b|geometric quotient|categorical quotient,120,direct,high,groupoids-quotients-section-categorical;groupoids-quotients-section-geometric;groupoids-section-finite-flat-general;moduli-remark-classical-positive-divisor-quotient,Categorical and geometric quotients are present and the classical proper-flat divisor quotient is recorded with its scheme-output boundary.
equivalence-relation,Equivalence relation,equivalence relation|groupoid,120,direct,high,spaces-section-spaces-from-equivalence-relations;groupoids-section-groupoids;moduli-lemma-positive-divisor-cover,Algebraic spaces and groupoids encode equivalence relations while the positive-divisor relation gives the FGA projective-flat instance.
representability,Representability,representab,120,broad,high,categories-section-representable;algebraic-section-representable-by-algebraic-spaces,Modern representability infrastructure is much broader than the historical usage.
weil-restriction,Weil restriction,weil restriction|restriction of scalars|restriction-of-scalars,100,direct,high,criteria-section-restriction-of-scalars;moduli-proposition-sections-proper-flat;moduli-proposition-picard-stein-restriction,Finite restriction of scalars section spaces over a proper flat source and the Picard scheme across a finite Stein factor are represented in the appropriate category.
section-functor,Section functor,functor of sections|section functor|space of sections,100,direct,high,moduli-proposition-sections-proper-flat;moduli-remark-sections-proper-field-quasi-projective,Proper-flat section functors have a general algebraic-space theorem with closed affine vector-bundle and field-valued quasi-projective refinements.
hilbert-functor,Hilbert functor,hilbert functor|functor of quotients|quot functor,100,direct,high,quot-section-hilb;moduli-section-hilb;moduli-lemma-divisors-open-in-hilbert;moduli-section-zero-cycles,The general Hilbert functor includes the open relative-divisor locus and its finite-flat zero-cycle specialization.
hilbert-scheme,Hilbert scheme,hilbert scheme|hilbert space,100,direct,high,pic-section-hilbert-scheme-points;quot-section-hilb;moduli-proposition-divisors-projective-flat;moduli-proposition-hilbert-symmetric-product;moduli-proposition-hilbert-chow-smooth-curves,Representability and points are present together with fixed-polynomial divisor opens the Hilbert-to-symmetric-product comparison and the smooth-curve isomorphism.
zero-cycles,Effective zero cycles,zero.?cycles?|cycles? of degree,100,direct,high,moduli-section-zero-cycles;moduli-theorem-divided-power-zero-cycles,Effective relative zero cycles are represented by divided powers with arbitrary base change.
divided-powers,Divided powers,divided powers?|gamma.?space,100,direct,high,moduli-theorem-divided-power-zero-cycles,The divided-power space represents effective relative zero cycles.
symmetric-products,Symmetric products,symmetric products?|symmetric powers?,100,direct,high,moduli-theorem-divided-power-zero-cycles;moduli-remark-norm-symmetric-morphism,The symmetric product comparison and its flat-case operation law are explicit.
norm-map,Grothendieck--Deligne norm,norm map|determinant norm|grothendieck.?deligne norm,100,direct,high,moduli-proposition-grothendieck-deligne-norm;moduli-remark-norm-symmetric-morphism,Finite-support quotients carry the determinant norm cycle and flat targets admit the classical symmetric-product refinement.
